Date,Time,Load,Nuclear,Goesgen,Leibstadt,Muehleberg,Beznau 1,Beznau 2,Import+/Export-,Other
2020-01-01 ,00:00,7012.49,2713.2,1008.8,972.0,0,365.3,367.1,2035.7,2263.6
2020-01-01 ,01:00,7134.25,2712.8,1008.1,972.0,0,365.5,367.2,1853.8,2567.7
2020-01-01 ,02:00,6972.69,2711.0,1007.9,971.0,0,365.1,367.0,2671.5,1590.2
2020-01-01 ,03:00,7580.84,2718.1,1006.5,980.0,0,364.4,367.2,2469.7,2393.0
2020-01-01 ,04:00,7179.81,2725.0,1005.8,989.0,0,363.1,367.1,2427.4,2027.4
2020-01-01 ,05:00,7123.02,2728.7,1006.7,992.0,0,362.9,367.1,2295.0,2099.3
2020-01-01 ,06:00,7103.05,2770.2,1009.0,1031.0,0,363.1,367.1,2007.5,2325.3
2020-01-01 ,07:00,6947.14,2835.5,1008.3,1097.0,0,363.1,367.1,1901.6,2210.0
2020-01-01 ,08:00,6991.91,2924.5,1008.0,1186.0,0,363.4,367.1,1654.6,2412.8
2020-01-01 ,09:00,7167.09,2984.2,1007.5,1246.0,0,363.6,367.1,2025.6,2157.3
2020-01-01 ,10:00,7544.69,3004.8,1004.9,1269.0,0,363.7,367.2,1849.8,2690.1
2020-01-01 ,11:00,7486.56,3004.3,1005.1,1268.0,0,364.0,367.2,2013.8,2468.5
2020-01-01 ,12:00,7806.47,3013.2,1012.9,1269.0,0,364.1,367.2,1965.9,2827.4
2020-01-01 ,13:00,7720.05,3012.4,1016.2,1265.0,0,364.0,367.2,2017.7,2690.0
2020-01-01 ,14:00,7594.2,3015.6,1008.6,1276.0,0,363.8,367.2,1890.0,2688.6
2020-01-01 ,15:00,7234.18,3015.7,1007.9,1277.0,0,363.6,367.2,674.2,3544.3
2020-01-01 ,16:00,6739.95,3017.0,1009.2,1277.0,0,363.9,366.9,-321.6,3723.0
2020-01-01 ,17:00,7246.52,3016.6,1008.7,1277.0,0,363.8,367.1,-748.9,4229.9
2020-01-01 ,18:00,7341.09,3016.9,1007.9,1278.0,0,363.8,367.2,-607.4,4324.2
2020-01-01 ,19:00,7168.89,3017.5,1008.6,1278.0,0,363.9,367.0,-471.0,4151.4
2020-01-01 ,20:00,6970.6,3018.9,1008.5,1279.0,0,364.2,367.2,343.5,3608.2
2020-01-01 ,21:00,6746.55,3020.0,1008.7,1279.0,0,365.2,367.1,946.2,2780.3
2020-01-01 ,22:00,6942.24,3020.6,1009.0,1279.0,0,365.5,367.1,1441.9,2479.7
2020-01-01 ,23:00,6836.57,3020.5,1009.2,1279.0,0,365.2,367.1,1920.6,1895.4
2020-01-02 ,00:00,7038.29,3021.5,1009.0,1280.0,0,365.4,367.1,2664.6,1352.2
2020-01-02 ,01:00,7443.73,3019.1,1009.7,1277.0,0,365.2,367.2,2869.2,1555.4
2020-01-02 ,02:00,7629.56,3014.0,1008.9,1273.0,0,364.9,367.2,2676.4,1939.1
2020-01-02 ,03:00,7320.55,3010.8,1009.5,1270.0,0,364.1,367.2,2426.6,1883.1
2020-01-02 ,04:00,7113.39,3003.8,1008.4,1265.0,0,363.2,367.2,2623.8,1485.8
2020-01-02 ,05:00,7206.75,3000.7,1008.3,1263.0,0,362.7,366.7,2287.8,1918.2
2020-01-02 ,06:00,6966.18,2997.3,1008.9,1259.0,0,363.2,366.2,466.3,3502.6
2020-01-02 ,07:00,6521.52,2995.3,1008.5,1257.0,0,363.4,366.4,-954.5,3526.2
2020-01-02 ,08:00,6775.73,2994.5,1010.3,1254.0,0,363.0,367.2,-1422.7,3781.2
2020-01-02 ,09:00,7112.09,2987.9,1009.6,1248.0,0,363.1,367.2,-1223.9,4124.2
2020-01-02 ,10:00,7222.97,2943.6,1009.2,1204.0,0,363.2,367.2,-1098.6,4279.4
2020-01-02 ,11:00,7095.04,2750.4,1008.8,1011.0,0,363.4,367.2,-831.3,4344.6
2020-01-02 ,12:00,7299.16,2742.1,1009.3,1002.0,0,363.7,367.1,-961.2,4557.1
2020-01-02 ,13:00,7168.95,2771.1,1008.2,1032.0,0,363.7,367.2,-1147.9,4397.8
2020-01-02 ,14:00,7025.62,2826.9,1008.2,1088.0,0,363.7,367.0,-1544.4,4198.7
2020-01-02 ,15:00,7042.65,2881.4,1008.4,1142.0,0,363.8,367.2,-2203.3,4161.2
2020-01-02 ,16:00,7267.98,2935.1,1008.2,1196.0,0,363.9,367.0,-2374.0,4332.9
2020-01-02 ,17:00,7809.21,2989.3,1007.3,1251.0,0,364.0,367.0,-2236.7,4819.9
2020-01-02 ,18:00,7876.58,3016.8,1007.5,1278.0,0,364.1,367.2,-1714.0,4859.8
2020-01-02 ,19:00,7690.23,3015.7,1007.4,1277.0,0,364.3,367.0,396.7,4277.8
2020-01-02 ,20:00,7423.84,3018.5,1007.8,1279.0,0,364.7,367.0,1360.3,3045.0
2020-01-02 ,21:00,7164.25,3018.5,1008.7,1277.0,0,365.7,367.1,1770.3,2375.4
2020-01-02 ,22:00,7224.07,3018.7,1008.8,1277.0,0,365.8,367.1,2452.5,1752.8
2020-01-02 ,23:00,7392.37,3018.3,1007.6,1278.0,0,365.7,367.0,2713.8,1660.3
2020-01-03 ,00:00,7364.87,3016.6,1007.4,1276.0,0,366.0,367.2,2855.5,1492.7
2020-01-03 ,01:00,7388.81,3017.7,1007.7,1277.0,0,365.9,367.1,3159.8,1211.4
2020-01-03 ,02:00,7535.95,3017.4,1007.4,1277.0,0,365.9,367.1,3181.1,1337.5
2020-01-03 ,03:00,7476.74,3014.2,1007.1,1275.0,0,365.0,367.1,3039.1,1423.5
2020-01-03 ,04:00,7307.42,3013.0,1006.8,1275.0,0,364.1,367.1,2713.9,1580.5
2020-01-03 ,05:00,7249.53,3012.6,1006.0,1276.0,0,363.5,367.1,1690.8,2546.1
2020-01-03 ,06:00,6753.57,3011.7,1006.0,1275.0,0,363.5,367.2,892.8,2849.1
2020-01-03 ,07:00,7079.87,1006.3,1006.3,0.0,0,0.0,0.0,998.1,5075.4
