Date,Time,Load,Nuclear,Goesgen,Leibstadt,Muehleberg,Beznau 1,Beznau 2,Hydro & other,Solar,Import+/Export-
2022-02-01 ,00:00,7794.61,1735.0,1007.9,1286.0,0,362.8,364.3,2015.2,0.0,4044.4
2022-02-01 ,01:00,7485.74,2699.4,1007.3,1287.0,0,362.8,364.3,586.6,0.0,4199.8
2022-02-01 ,02:00,8170.82,2517.8,1007.7,1287.0,0,362.6,364.2,1407.8,0.0,4245.2
2022-02-01 ,03:00,8793.45,2517.8,1008.2,1286.0,0,361.7,364.3,2351.1,0.0,3924.5
2022-02-01 ,04:00,8127.48,3019.8,1008.0,1287.0,0,360.6,364.2,982.5,0.0,4125.2
2022-02-01 ,05:00,8504.33,3019.1,1007.8,1287.0,0,360.2,364.1,1695.8,0.0,3789.4
2022-02-01 ,06:00,9416.18,3019.1,1008.2,1287.0,0,359.9,364.0,5121.9,0.0,1275.2
2022-02-01 ,07:00,9515.29,3020.6,1008.3,1288.0,0,360.3,364.0,6115.3,0.0,379.4
2022-02-01 ,08:00,9486.51,3021.0,1008.5,1288.0,0,360.5,364.0,5196.6,19.65,1249.2
2022-02-01 ,09:00,9820.49,3021.8,1008.7,1288.0,0,361.0,364.1,4687.3,138.82,1972.6
2022-02-01 ,10:00,9508.7,3021.0,1007.9,1288.0,0,361.0,364.1,3170.7,282.17,3034.8
2022-02-01 ,11:00,9737.03,2822.7,809.3,1288.0,0,361.2,364.2,2352.4,256.02,4305.9
2022-02-01 ,12:00,9598.59,3021.6,1009.2,1287.0,0,361.3,364.1,2469.7,220.84,3886.5
2022-02-01 ,13:00,9583.6,3021.0,1007.6,1288.0,0,361.4,364.0,3032.4,152.47,3377.8
2022-02-01 ,14:00,9483.69,3021.0,1007.2,1288.0,0,361.6,364.2,3956.3,80.98,2425.4
2022-02-01 ,15:00,9238.71,3020.5,1006.5,1288.0,0,361.7,364.3,3969.5,16.88,2231.8
2022-02-01 ,16:00,9420.66,3018.3,1005.8,1287.0,0,361.4,364.1,5268.8,0.0,1133.5
2022-02-01 ,17:00,9490.65,3020.7,1006.6,1289.0,0,361.1,364.0,5796.6,0.0,673.3
2022-02-01 ,18:00,9466.96,3020.2,1006.5,1288.0,0,361.6,364.1,5722.2,0.0,724.5
2022-02-01 ,19:00,8501.24,3020.1,1006.9,1287.0,0,362.0,364.2,3338.9,0.0,2142.2
2022-02-01 ,20:00,8370.06,3019.3,1006.8,1286.0,0,362.3,364.2,2636.3,0.0,2714.5
2022-02-01 ,21:00,7888.91,3020.7,1007.2,1286.0,0,363.3,364.2,1745.6,0.0,3122.6
2022-02-01 ,22:00,8112.77,3020.2,1006.1,1286.0,0,363.8,364.3,1001.6,0.0,4091.0
2022-02-01 ,23:00,7374.36,3017.8,1005.8,1284.0,0,363.7,364.3,138.2,0.0,4218.4
2022-02-02 ,00:00,7601.33,3017.4,1005.6,1284.0,0,363.6,364.2,167.4,0.0,4416.6
2022-02-02 ,01:00,7223.27,3017.7,1005.9,1284.0,0,363.6,364.2,0.0,0.0,4634.8
2022-02-02 ,02:00,7613.39,3016.4,1005.4,1283.0,0,363.7,364.3,147.5,0.0,4449.5
2022-02-02 ,03:00,7124.63,3014.0,1004.5,1282.0,0,363.2,364.3,0.0,0.0,4250.8
2022-02-02 ,04:00,7463.06,3014.8,1005.5,1283.0,0,362.1,364.2,55.3,0.0,4392.9
