Date,Time,Load,Nuclear,Goesgen,Leibstadt,Muehleberg,Beznau 1,Beznau 2,Hydro & other,Solar,Import+/Export-
2020-12-01 ,00:00,7966.69,3008.5,996.8,1279.0,0,366.0,366.7,1649.2,0.0,3309.0
2020-12-01 ,01:00,8189.26,3006.6,995.9,1278.0,0,365.9,366.8,1905.0,0.0,3277.7
2020-12-01 ,02:00,8115.83,3007.5,996.2,1279.0,0,365.6,366.7,1695.2,0.0,3413.2
2020-12-01 ,03:00,8032.04,3005.1,995.6,1278.0,0,364.9,366.6,1738.1,0.0,3288.8
2020-12-01 ,04:00,7946.32,3002.1,995.6,1276.0,0,363.8,366.7,1873.1,0.0,3071.1
2020-12-01 ,05:00,7986.68,3002.1,995.4,1277.0,0,363.2,366.5,3292.6,0.0,1692.0
2020-12-01 ,06:00,8339.57,3001.2,995.9,1276.0,0,362.9,366.4,5338.4,0.0,-109.7
2020-12-01 ,07:00,9047.86,3000.9,995.6,1274.0,0,364.9,366.4,6045.3,1.64,-961.4
2020-12-01 ,08:00,9483.72,2999.5,994.3,1272.0,0,366.8,366.4,6439.9,44.32,-1619.3
2020-12-01 ,09:00,9617.36,2999.7,995.0,1274.0,0,364.3,366.4,6547.5,70.17,-856.7
2020-12-01 ,10:00,9749.82,2998.2,994.8,1273.0,0,364.0,366.4,6653.7,97.95,-996.6
2020-12-01 ,11:00,9873.84,2845.4,841.8,1273.0,0,364.1,366.5,6762.8,265.6,-757.4
2020-12-01 ,12:00,9613.12,2919.0,915.5,1273.0,0,363.9,366.6,6540.0,154.17,-137.1
2020-12-01 ,13:00,9626.18,2996.9,994.5,1272.0,0,363.9,366.5,6479.3,149.95,-443.7
2020-12-01 ,14:00,9553.4,2994.9,993.4,1271.0,0,364.0,366.5,6475.8,82.75,-641.7
2020-12-01 ,15:00,9379.18,2994.9,993.4,1271.0,0,364.1,366.4,6353.2,31.06,-954.7
2020-12-01 ,16:00,9448.63,2996.4,993.7,1272.0,0,364.2,366.5,6452.2,0.0,-2198.9
2020-12-01 ,17:00,9594.88,2998.4,994.5,1273.0,0,364.3,366.6,6596.5,0.0,-2545.4
2020-12-01 ,18:00,9519.21,2998.5,994.4,1273.0,0,364.5,366.6,6520.7,0.0,-2360.3
2020-12-01 ,19:00,9090.24,3000.3,994.7,1274.0,0,364.9,366.7,6089.9,0.0,-1463.3
2020-12-01 ,20:00,8589.26,2999.6,994.6,1273.0,0,365.2,366.8,5295.6,0.0,294.1
2020-12-01 ,21:00,8288.7,3001.7,994.9,1274.0,0,366.1,366.7,4318.1,0.0,968.9
2020-12-01 ,22:00,8045.75,3001.6,994.6,1274.0,0,366.3,366.7,2795.4,0.0,2248.8
2020-12-01 ,23:00,7926.18,3002.5,995.2,1274.0,0,366.5,366.8,2405.3,0.0,2518.3
2020-12-02 ,00:00,7687.38,3001.5,995.3,1273.0,0,366.5,366.7,2196.8,0.0,2489.0
2020-12-02 ,01:00,7536.0,3000.9,994.7,1273.0,0,366.4,366.8,2021.5,0.0,2513.6
2020-12-02 ,02:00,7611.66,3000.7,994.7,1273.0,0,366.2,366.8,1748.4,0.0,2862.5
2020-12-02 ,03:00,7756.18,2999.8,994.6,1273.0,0,365.6,366.6,1885.5,0.0,2870.9
2020-12-02 ,04:00,7673.44,2998.9,994.8,1273.0,0,364.3,366.8,2116.4,0.0,2558.2
2020-12-02 ,05:00,7696.44,2999.4,995.3,1274.0,0,363.5,366.6,4697.0,0.0,-670.9
2020-12-02 ,06:00,8074.23,2997.3,995.6,1272.0,0,363.3,366.4,5076.9,0.0,-1986.5
2020-12-02 ,07:00,8904.59,2996.4,994.5,1272.0,0,363.4,366.5,5906.3,1.94,-2191.9
2020-12-02 ,08:00,9409.21,2995.5,994.4,1271.0,0,363.8,366.3,6387.5,26.19,-2034.6
2020-12-02 ,09:00,9478.73,2997.4,994.9,1272.0,0,364.1,366.4,6388.2,93.09,-2043.7
2020-12-02 ,10:00,9669.55,3003.3,1000.7,1272.0,0,364.2,366.4,6493.0,173.21,-2449.6
2020-12-02 ,11:00,9705.61,2997.3,994.6,1272.0,0,364.2,366.5,6363.9,344.43,-2627.7
2020-12-02 ,12:00,9539.8,2997.7,995.2,1272.0,0,364.2,366.3,6240.3,301.79,-2456.8
2020-12-02 ,13:00,9513.7,2995.6,995.2,1270.0,0,364.2,366.2,6449.9,68.23,-2368.8
2020-12-02 ,14:00,9401.48,2996.4,995.8,1270.0,0,364.3,366.3,6368.2,36.87,-1970.1
