Date,Time,Load,Nuclear,Goesgen,Leibstadt,Muehleberg,Beznau 1,Beznau 2,Hydro & other,Solar,Import+/Export-
2022-05-01 ,00:00,6050.12,2637.9,997.6,1280.0,0,0.0,360.3,2475.4,0.0,936.8
2022-05-01 ,01:00,6385.64,2644.6,1002.2,1282.0,0,0.0,360.4,2566.1,0.0,1174.9
2022-05-01 ,02:00,6287.98,2648.8,1005.9,1283.0,0,0.0,359.9,2974.4,0.0,664.8
2022-05-01 ,03:00,6307.14,2649.7,1007.3,1283.0,0,0.0,359.4,2994.8,0.0,662.6
2022-05-01 ,04:00,5750.69,2652.8,1010.2,1284.0,0,0.0,358.6,2150.2,1.26,946.4
2022-05-01 ,05:00,6617.03,2652.3,1009.8,1284.0,0,0.0,358.5,2803.8,51.26,1109.7
2022-05-01 ,06:00,6276.34,2650.8,1009.2,1283.0,0,0.0,358.6,2180.3,226.32,1218.9
2022-05-01 ,07:00,6506.23,2650.9,1008.0,1284.0,0,0.0,358.9,1704.6,410.82,1739.9
2022-05-01 ,08:00,6451.01,2644.7,1003.6,1282.0,0,0.0,359.1,1387.5,647.69,1771.1
2022-05-01 ,09:00,6464.94,2641.8,1000.6,1282.0,0,0.0,359.2,932.5,1386.32,1504.3
2022-05-01 ,10:00,5595.13,2643.0,1001.3,1282.0,0,0.0,359.7,0.0,1864.26,1228.2
2022-05-01 ,11:00,5365.78,2636.5,997.9,1279.0,0,0.0,359.6,0.0,2180.26,1301.9
2022-05-01 ,12:00,6498.17,2632.2,995.5,1277.0,0,0.0,359.7,551.8,2138.89,1175.3
2022-05-01 ,13:00,6931.42,2630.8,994.8,1276.0,0,0.0,360.0,1038.8,1996.68,1265.2
2022-05-01 ,14:00,6691.13,2629.7,995.5,1274.0,0,0.0,360.2,898.3,1709.37,1453.7
2022-05-01 ,15:00,5699.21,2629.0,994.9,1274.0,0,0.0,360.1,503.9,951.01,1615.3
2022-05-01 ,16:00,6226.08,2624.6,991.7,1273.0,0,0.0,359.9,2007.1,391.91,1202.5
2022-05-01 ,17:00,6415.29,2624.4,991.7,1273.0,0,0.0,359.7,3485.0,115.65,190.2
2022-05-01 ,18:00,7071.97,2625.3,994.2,1272.0,0,0.0,359.1,4443.0,3.72,-285.5
2022-05-01 ,19:00,6469.59,2627.6,994.2,1274.0,0,0.0,359.4,3842.0,0.0,-85.2
2022-05-01 ,20:00,6707.49,2629.6,995.1,1275.0,0,0.0,359.5,3785.9,0.0,292.0
2022-05-01 ,21:00,6102.44,2633.8,998.1,1276.0,0,0.0,359.7,2455.9,0.0,1012.7
2022-05-01 ,22:00,6307.99,2635.6,998.0,1278.0,0,0.0,359.6,2390.2,0.0,1282.2
2022-05-01 ,23:00,6643.72,2636.6,998.1,1279.0,0,0.0,359.5,2559.9,0.0,1447.3
2022-05-02 ,00:00,6628.22,2640.1,999.4,1281.0,0,0.0,359.7,2187.3,0.0,1800.9
2022-05-02 ,01:00,6605.42,2641.6,1000.4,1282.0,0,0.0,359.2,2176.2,0.0,1787.7
2022-05-02 ,02:00,6581.42,2641.3,1000.3,1282.0,0,0.0,359.0,1920.8,0.0,2019.4
2022-05-02 ,03:00,6732.73,2640.8,1000.8,1282.0,0,0.0,358.0,2539.1,0.0,1552.8
2022-05-02 ,04:00,6349.88,2641.6,1000.5,1284.0,0,0.0,357.1,3249.5,0.82,458.0
2022-05-02 ,05:00,6818.93,2641.6,1000.7,1283.0,0,0.0,357.9,4074.0,103.35,-2289.1
2022-05-02 ,06:00,7769.31,2641.1,1000.7,1282.0,0,0.0,358.4,4743.7,384.54,-2560.9
2022-05-02 ,07:00,8198.33,2635.8,997.6,1279.0,0,0.0,359.2,4439.8,962.11,160.6
2022-05-02 ,08:00,7771.6,2636.0,1002.8,1274.0,0,0.0,359.2,1993.8,1537.22,1604.6
2022-05-02 ,09:00,7918.89,2628.9,996.5,1273.0,0,0.0,359.4,1115.5,1876.56,2297.9
2022-05-02 ,10:00,7565.37,2623.6,993.2,1271.0,0,0.0,359.4,1176.9,2086.8,1678.1
2022-05-02 ,11:00,7722.01,2622.7,993.2,1270.0,0,0.0,359.5,1393.6,2091.34,1614.4
2022-05-02 ,12:00,8134.77,2620.5,991.8,1269.0,0,0.0,359.7,2043.8,1943.78,1526.7
2022-05-02 ,13:00,7328.67,2619.0,991.2,1268.0,0,0.0,359.8,1387.4,1649.91,1672.4
2022-05-02 ,14:00,7908.56,2619.4,990.6,1269.0,0,0.0,359.8,2334.3,1321.56,1633.3
