Date,Time,Load,Nuclear,Goesgen,Leibstadt,Muehleberg,Beznau 1,Beznau 2,Import+/Export-,Other
2022-08-01 ,00:00,5252.51,1678.8,980.9,0.0,0,350.7,347.2,1165.4,2408.3
2022-08-01 ,01:00,5693.49,1683.0,984.1,0.0,0,351.1,347.8,1431.4,2579.0
2022-08-01 ,02:00,7127.76,1684.4,985.0,0.0,0,351.6,347.8,1304.4,4139.0
2022-08-01 ,03:00,7120.33,1684.9,985.5,0.0,0,351.6,347.8,941.4,4494.1
2022-08-01 ,04:00,6629.66,1686.2,987.1,0.0,0,351.7,347.4,-1143.9,4943.5
2022-08-01 ,05:00,5799.22,1686.5,987.4,0.0,0,351.7,347.4,-3583.0,4112.7
2022-08-01 ,06:00,4950.47,1684.2,985.2,0.0,0,351.6,347.4,-5168.0,3266.3
2022-08-01 ,07:00,6001.74,1680.1,980.9,0.0,0,351.3,347.9,-4306.6,4321.6
2022-08-01 ,08:00,7120.22,1675.8,977.4,0.0,0,351.1,347.3,-3731.8,5444.4
2022-08-01 ,09:00,7030.4,1661.3,975.0,0.0,0,346.8,339.5,-3003.8,5369.1
2022-08-01 ,10:00,6444.41,1630.0,972.8,0.0,0,332.5,324.7,-2566.0,4814.4
2022-08-01 ,11:00,7339.13,1545.5,971.6,0.0,0,262.7,311.2,-2154.3,5793.6
2022-08-01 ,12:00,7048.86,1407.9,970.2,0.0,0,161.9,275.8,-2074.1,5641.0
2022-08-01 ,13:00,7046.81,1305.8,969.7,0.0,0,151.5,184.6,-1814.3,5741.0
2022-08-01 ,14:00,7048.91,1271.0,969.3,0.0,0,151.5,150.2,-1541.9,5777.9
2022-08-01 ,15:00,6767.51,1269.4,968.3,0.0,0,151.1,150.0,-2581.1,5498.1
2022-08-01 ,16:00,6622.43,1269.7,968.6,0.0,0,151.2,149.9,-4085.7,5352.7
2022-08-01 ,17:00,6992.76,1270.5,969.5,0.0,0,151.2,149.8,-4957.5,5722.3
2022-08-01 ,18:00,7089.99,1272.8,971.5,0.0,0,151.5,149.8,-5250.5,5817.2
2022-08-01 ,19:00,6945.42,1273.6,971.9,0.0,0,151.8,149.9,-4617.5,5671.8
2022-08-01 ,20:00,5828.29,1292.7,972.4,0.0,0,152.0,168.3,-4216.6,4535.6
2022-08-01 ,21:00,7071.85,1347.5,974.5,0.0,0,167.2,205.8,-3256.9,5724.4
2022-08-01 ,22:00,6408.91,1438.9,976.4,0.0,0,222.3,240.2,-1930.0,4970.0
2022-08-01 ,23:00,6208.01,1548.5,978.2,0.0,0,295.5,274.8,-650.1,4659.5
2022-08-02 ,00:00,5081.09,1616.1,980.2,0.0,0,333.3,302.6,-110.6,3465.0
2022-08-02 ,01:00,5154.19,1642.7,982.7,0.0,0,335.8,324.2,543.7,2967.8
2022-08-02 ,02:00,5107.91,1662.6,982.9,0.0,0,344.3,335.4,659.6,2785.7
2022-08-02 ,03:00,5634.52,1667.6,983.9,0.0,0,346.0,337.7,525.1,3441.8
2022-08-02 ,04:00,6159.81,1670.7,984.1,0.0,0,347.5,339.1,-1569.1,4489.1
2022-08-02 ,05:00,6508.48,2925.8,983.4,1258.0,0,346.8,337.6,-2472.5,3582.7
2022-08-02 ,06:00,6951.39,2890.8,982.4,1257.0,0,314.7,336.7,-2602.9,4060.6
2022-08-02 ,07:00,7287.12,2720.9,980.2,1254.0,0,192.0,294.7,-2030.6,4566.2
2022-08-02 ,08:00,7328.63,2580.3,978.9,1252.0,0,153.4,196.0,-1819.6,4748.3
2022-08-02 ,09:00,7520.76,2524.0,976.6,1248.0,0,151.5,147.9,-1794.0,4996.8
2022-08-02 ,10:00,7175.07,2517.6,973.8,1245.0,0,151.3,147.5,-1674.8,4657.5
2022-08-02 ,11:00,7482.06,2513.5,972.4,1243.0,0,150.8,147.3,-1006.5,4968.6
2022-08-02 ,12:00,7004.09,2511.3,971.6,1242.0,0,150.7,147.0,-1290.1,4492.8
2022-08-02 ,13:00,7363.36,2507.2,969.9,1240.0,0,150.5,146.8,-1174.5,4856.2
2022-08-02 ,14:00,7291.04,2505.1,969.2,1239.0,0,150.4,146.5,-1202.3,4785.9
2022-08-02 ,15:00,6993.76,2506.0,970.3,1239.0,0,150.2,146.5,-1949.2,4487.8
2022-08-02 ,16:00,7021.14,2506.6,970.9,1239.0,0,150.3,146.4,-3025.7,4514.5
2022-08-02 ,17:00,6676.91,2508.3,971.7,1240.0,0,150.3,146.3,-4347.7,4168.6
2022-08-02 ,18:00,6363.5,2512.0,973.0,1242.0,0,150.6,146.4,-4891.7,3851.5
2022-08-02 ,19:00,6727.62,2515.7,973.8,1244.0,0,151.0,146.9,-4474.4,4211.9
2022-08-02 ,20:00,6747.9,2521.2,976.8,1246.0,0,151.2,147.2,-3407.9,4226.7
2022-08-02 ,21:00,5407.12,2526.3,978.3,1249.0,0,151.5,147.5,-1907.7,2880.8
2022-08-02 ,22:00,6397.75,2531.5,980.2,1252.0,0,151.7,147.6,-1873.0,3866.2
2022-08-02 ,23:00,5546.37,2553.2,982.5,1252.0,0,157.9,160.8,-1572.1,2993.2
2022-08-03 ,00:00,5670.54,2644.1,983.8,1254.0,0,203.5,202.8,-643.0,3026.4
2022-08-03 ,01:00,5598.72,2746.9,985.4,1256.0,0,259.3,246.2,991.9,1859.9
2022-08-03 ,02:00,5896.49,2806.5,986.4,1257.0,0,274.3,288.8,849.9,2240.1
2022-08-03 ,03:00,5491.42,2835.4,987.5,1258.0,0,291.9,298.0,-1.6,2656.0
2022-08-03 ,04:00,5873.6,2887.1,987.8,1259.0,0,335.3,305.0,-1783.6,2986.5
2022-08-03 ,05:00,6477.05,2910.5,988.9,1258.0,0,337.2,326.4,-2499.3,3566.6
2022-08-03 ,06:00,6906.56,2899.0,987.0,1255.0,0,336.3,320.7,-2383.6,4007.6
2022-08-03 ,07:00,7459.5,2854.0,982.3,1252.0,0,311.7,308.0,-2259.0,4605.5
2022-08-03 ,08:00,7496.69,2794.0,975.0,1247.0,0,303.1,268.9,-1908.2,4702.7
2022-08-03 ,09:00,7945.75,2742.2,969.9,1241.0,0,299.3,232.0,-1967.8,5203.6
2022-08-03 ,10:00,7195.44,2606.1,966.9,1240.0,0,229.6,169.6,-1765.5,4589.3
2022-08-03 ,11:00,7522.24,2507.7,966.5,1236.0,0,155.7,149.5,-1955.6,5014.5
2022-08-03 ,12:00,7578.54,2500.4,966.3,1235.0,0,150.8,148.3,-2028.6,5078.1
2022-08-03 ,13:00,7470.4,2499.1,965.4,1235.0,0,150.7,148.0,-1900.0,4971.3
2022-08-03 ,14:00,7256.89,2496.2,964.0,1234.0,0,150.5,147.7,-1997.9,4760.7
2022-08-03 ,15:00,6949.43,2438.8,963.5,1233.0,0,131.7,110.6,-3309.6,4510.6
2022-08-03 ,16:00,6893.53,2492.9,962.1,1233.0,0,150.4,147.4,-5142.2,4400.6
2022-08-03 ,17:00,6629.28,2490.7,962.7,1230.0,0,150.4,147.6,-6557.2,4138.6
2022-08-03 ,18:00,6476.18,2496.2,964.8,1233.0,0,150.6,147.8,-6963.3,3980.0
2022-08-03 ,19:00,6397.59,2503.8,967.0,1238.0,0,150.8,148.0,-6745.6,3893.8
2022-08-03 ,20:00,6858.55,2509.7,969.3,1241.0,0,151.1,148.3,-6161.8,4348.8
2022-08-03 ,21:00,5769.43,2516.0,974.1,1242.0,0,151.4,148.5,-4627.8,3253.4
2022-08-03 ,22:00,5720.45,2521.5,976.3,1245.0,0,151.4,148.8,-2169.8,3199.0
2022-08-03 ,23:00,5358.94,2525.7,976.8,1248.0,0,151.9,149.0,-965.6,2833.2
2022-08-04 ,00:00,5204.92,2532.5,976.0,1250.0,0,152.2,154.3,350.8,2321.6
2022-08-04 ,01:00,5477.7,2582.5,977.9,1253.0,0,152.4,199.2,735.7,2159.5
2022-08-04 ,02:00,5381.89,2640.0,980.6,1254.0,0,152.5,252.9,844.5,1897.4
2022-08-04 ,03:00,5757.29,2687.5,983.7,1255.0,0,159.0,289.8,412.8,2657.0
2022-08-04 ,04:00,6254.03,2757.5,983.2,1256.0,0,207.0,311.3,-1600.9,3496.5
2022-08-04 ,05:00,6980.06,2804.4,981.8,1257.0,0,255.1,310.5,-2666.7,4175.7
2022-08-04 ,06:00,7635.39,2714.8,978.3,1253.0,0,198.5,285.0,-3124.7,4920.6
2022-08-04 ,07:00,7706.25,2610.8,975.3,1248.0,0,152.3,235.2,-2268.3,5095.4
2022-08-04 ,08:00,7308.06,2540.6,977.9,1243.0,0,151.8,167.9,-1625.3,4767.5
2022-08-04 ,09:00,7813.9,2508.9,972.5,1235.0,0,151.5,149.9,-1670.9,5305.0
2022-08-04 ,10:00,7268.7,2492.2,962.9,1230.0,0,151.2,148.1,-1424.8,4776.5
2022-08-04 ,11:00,7214.39,2486.4,958.7,1229.0,0,150.8,147.9,-1207.6,4728.0
2022-08-04 ,12:00,7427.49,2482.5,956.5,1228.0,0,150.6,147.4,-962.6,4945.0
2022-08-04 ,13:00,7456.02,2479.0,956.3,1225.0,0,150.4,147.3,-1507.4,4977.0
2022-08-04 ,14:00,7177.78,2475.4,954.3,1224.0,0,150.1,147.0,-1282.0,4702.4
2022-08-04 ,15:00,7165.39,2474.4,953.5,1224.0,0,149.9,147.0,-1785.3,4691.0
2022-08-04 ,16:00,7269.68,2474.3,952.5,1225.0,0,149.9,146.9,-4743.6,4795.4
2022-08-04 ,17:00,6681.89,2475.6,953.8,1225.0,0,150.0,146.8,-5861.5,4206.3
2022-08-04 ,18:00,6696.02,2480.2,956.1,1227.0,0,150.0,147.1,-5265.1,4215.8
2022-08-04 ,19:00,6589.85,2485.5,955.0,1233.0,0,150.3,147.2,-4448.4,4104.4
2022-08-04 ,20:00,6312.61,2495.4,959.1,1238.0,0,150.6,147.7,-3654.9,3817.2
2022-08-04 ,21:00,6267.09,2500.5,961.0,1241.0,0,150.7,147.8,-1272.0,3766.6
2022-08-04 ,22:00,5987.22,2504.1,962.0,1243.0,0,151.0,148.1,-1310.5,3483.1
2022-08-04 ,23:00,5653.19,2510.5,964.9,1246.0,0,151.3,148.3,-629.4,3142.7
2022-08-05 ,00:00,6132.96,2512.1,966.0,1246.0,0,151.6,148.5,-44.6,3620.9
2022-08-05 ,01:00,5584.79,2516.5,969.2,1247.0,0,151.7,148.6,-613.6,3068.3
2022-08-05 ,02:00,5501.7,2518.5,971.1,1247.0,0,151.8,148.6,409.5,2573.7
2022-08-05 ,03:00,5718.82,2519.4,972.0,1247.0,0,151.7,148.7,-658.1,3199.4
2022-08-05 ,04:00,6494.38,2521.0,973.4,1247.0,0,151.7,148.9,-1219.9,3973.4
2022-08-05 ,05:00,6724.06,2521.1,974.9,1246.0,0,151.5,148.7,-2495.8,4203.0
2022-08-05 ,06:00,7734.62,2517.3,972.4,1245.0,0,151.3,148.6,-4007.5,5217.3
2022-08-05 ,07:00,7397.47,2510.6,969.9,1241.0,0,151.2,148.5,-3003.6,4886.9
2022-08-05 ,08:00,7798.42,2504.1,967.0,1238.0,0,150.8,148.3,-2933.2,5294.3
2022-08-05 ,09:00,7628.04,2503.6,966.0,1239.0,0,150.6,148.0,-2843.4,5124.4
2022-08-05 ,10:00,7452.76,2498.4,964.9,1235.0,0,150.7,147.8,-2561.9,4954.4
2022-08-05 ,11:00,7284.96,2492.7,962.7,1232.0,0,150.4,147.6,-1038.1,4792.3
2022-08-05 ,12:00,7839.98,2488.6,961.1,1230.0,0,150.2,147.3,-985.5,5351.4
2022-08-05 ,13:00,7316.06,2487.9,960.7,1230.0,0,150.1,147.1,-142.5,4828.2
2022-08-05 ,14:00,6932.65,2482.8,959.2,1227.0,0,149.8,146.8,294.5,4155.4
