Date,Time,TotalLoadValue,FlowValue,Wind Onshore,Solar,Hydro Pumped Storage,Hydro Water Reservoir,Hydro Run-of-river and poundage,Nuclear,KKM Produktion,Beznau 2,Beznau 1,Leibstadt,Kernkraftwerk Gösgen
2020-02-01 ,00:00,6956.22,2250.02,33.59,0.0,140.53,414.05,174.13,2984.8,0,367.3,368.1,1252.0,997.4
2020-02-01 ,01:00,6863.93,2541.9900000000002,33.14,0.0,84.9,432.63,175.83,2984.6,0,367.3,368.1,1251.0,998.2
2020-02-01 ,02:00,7051.34,2706.8500000000004,30.11,0.0,67.7,446.1,171.68,2987.3,0,367.3,368.0,1254.0,998.0
2020-02-01 ,03:00,7091.6,2551.6200000000003,38.35,0.0,52.83,389.18,174.33,2989.0,0,367.2,367.6,1255.0,999.2
2020-02-01 ,04:00,6970.66,2242.23,46.99,0.0,79.53,442.95,201.73,2988.1,0,367.1,366.5,1255.0,999.5
2020-02-01 ,05:00,6769.0,1865.23,43.72,0.0,115.45,595.7,194.0,2990.8,0,367.3,365.7,1258.0,999.8
2020-02-01 ,06:00,6672.26,639.5200000000001,40.42,0.0,552.28,1018.95,187.15,2991.0,0,367.1,365.8,1258.0,1000.1
2020-02-01 ,07:00,6591.62,358.48,47.07,35.95,589.6,1345.25,177.83,2993.6,0,367.2,365.6,1261.0,999.8
2020-02-01 ,08:00,6932.91,241.51999999999998,46.74,207.59,411.88,1637.63,186.1,2994.5,0,367.3,366.2,1261.0,1000.0
2020-02-01 ,09:00,7178.52,362.39999999999964,46.69,294.41,286.35,1645.75,191.85,2992.6,0,367.2,366.8,1259.0,999.6
2020-02-01 ,10:00,7189.72,1218.67,48.69,629.23,315.93,915.55,172.38,2988.5,0,367.4,366.9,1256.0,998.2
2020-02-01 ,11:00,7303.96,1890.2900000000002,44.22,448.6,217.23,710.18,170.28,2984.8,0,367.4,367.2,1254.0,996.2
2020-02-01 ,12:00,7402.61,2547.9700000000003,48.78,157.03,205.4,678.13,169.15,2981.0,0,367.3,367.1,1252.0,994.6
2020-02-01 ,13:00,7704.78,2704.36,42.35,169.43,185.0,743.55,165.85,2977.4,0,367.4,367.1,1249.0,993.9
2020-02-01 ,14:00,7732.01,2202.46,46.94,157.07,293.78,913.15,165.03,2979.9,0,367.3,367.2,1250.0,995.4
2020-02-01 ,15:00,7609.26,1200.64,49.44,40.19,340.23,1313.9,165.68,2984.7,0,367.3,367.0,1248.0,1002.4
2020-02-01 ,16:00,7130.8,1017.8299999999999,47.01,3.93,404.5,1453.18,174.53,2979.6,0,367.3,367.0,1249.0,996.3
2020-02-01 ,17:00,7462.44,366.6100000000001,49.55,0.0,723.18,1766.48,171.43,2981.6,0,367.2,366.9,1248.0,999.5
2020-02-01 ,18:00,7768.96,673.98,51.43,0.0,539.93,1329.48,180.9,2985.2,0,367.3,366.9,1248.0,1003.0
2020-02-01 ,19:00,7405.03,1327.44,53.31,0.0,357.43,905.43,165.78,2982.8,0,367.2,367.1,1249.0,999.5
2020-02-01 ,20:00,7079.0,2023.7599999999998,50.17,0.0,215.9,559.23,170.5,2988.1,0,367.2,367.1,1250.0,1003.8
2020-02-01 ,21:00,7114.57,2507.12,47.58,0.0,105.33,469.73,177.93,2983.8,0,367.3,367.8,1250.0,998.7
2020-02-01 ,22:00,7319.0,2525.8399999999997,44.64,0.0,39.85,352.38,174.68,2981.5,0,367.2,367.9,1250.0,996.4
2020-02-01 ,23:00,7197.47,2297.02,39.77,0.0,46.38,356.33,168.98,2985.5,0,367.3,367.7,1253.0,997.5
2020-02-02 ,00:00,6998.24,2844.5499999999997,36.51,0.0,50.33,280.18,156.1,2984.9,0,367.2,367.9,1252.0,997.8
2020-02-02 ,01:00,7415.11,3004.31,27.39,0.0,48.8,286.9,167.98,2985.0,0,367.2,368.0,1252.0,997.8
