Date,Time,TotalLoadValue,FlowValue,Wind Onshore,Solar,Hydro Pumped Storage,Hydro Water Reservoir,Hydro Run-of-river and poundage,Nuclear,KKM Produktion,Beznau 2,Beznau 1,Leibstadt,Kernkraftwerk Gösgen
2018-07-01 ,00:00,6651.0,545.77,3.39,0.32,153.83,588.43,309.9,2754.7,361.2,0.0,360.6,1042.0,990.9
2018-07-01 ,01:00,6591.3,222.15999999999985,1.81,0.32,165.3,557.0,299.18,2756.4,361.1,0.0,360.9,1043.0,991.4
2018-07-01 ,02:00,6270.6,-4.919999999999845,0.73,0.32,144.38,537.18,296.2,2764.6,361.5,0.0,361.0,1049.0,993.1
2018-07-01 ,03:00,6051.82,-80.84000000000003,0.56,0.54,152.68,599.05,298.3,2767.8,361.4,0.0,361.2,1051.0,994.2
2018-07-01 ,04:00,5939.45,44.96000000000015,0.39,7.15,132.38,672.75,283.45,2770.8,361.1,0.0,361.6,1052.0,996.1
2018-07-01 ,05:00,6049.79,-165.33999999999992,0.45,27.73,135.4,678.18,302.88,2773.9,361.0,0.0,361.5,1054.0,997.4
2018-07-01 ,06:00,6186.64,-332.3099999999995,0.45,58.83,154.88,731.48,307.98,2774.3,360.8,0.0,361.9,1053.0,998.6
2018-07-01 ,07:00,6468.48,-234.4599999999998,0.36,90.75,132.45,734.35,297.65,2770.6,360.4,0.0,361.6,1051.0,997.6
2018-07-01 ,08:00,6744.78,-372.04999999999995,0.08,116.6,176.5,715.15,307.63,2766.0,360.4,0.0,361.6,1050.0,994.0
2018-07-01 ,09:00,6913.43,-467.3599999999998,0.5,134.69,212.43,725.45,306.08,2755.9,360.0,0.0,361.2,1043.0,991.7
2018-07-01 ,10:00,7028.78,-325.02,2.64,144.68,211.45,651.05,298.0,2745.4,359.9,0.0,360.8,1036.0,988.7
2018-07-01 ,11:00,7116.57,-172.10000000000014,4.26,147.31,166.6,532.4,301.65,2738.9,359.7,0.0,360.4,1031.0,987.8
2018-07-01 ,12:00,7092.49,-198.91000000000008,5.02,142.77,177.05,497.05,304.25,2736.0,359.8,0.0,360.1,1030.0,986.1
2018-07-01 ,13:00,6994.15,-201.12999999999977,3.05,131.13,190.48,498.88,303.23,2726.7,359.5,0.0,360.3,1023.0,983.9
2018-07-01 ,14:00,6883.46,-156.17000000000007,2.82,112.04,253.13,526.45,309.83,2725.2,359.6,0.0,359.9,1023.0,982.7
2018-07-01 ,15:00,6974.46,-240.46000000000026,2.96,85.83,301.53,793.1,312.35,2721.8,359.9,0.0,359.3,1021.0,981.6
2018-07-01 ,16:00,7067.1,-1354.5,3.48,54.01,321.63,1158.25,313.8,2722.8,360.2,0.0,359.2,1022.0,981.4
2018-07-01 ,17:00,6165.33,-2751.98,4.16,24.29,933.98,1464.25,314.1,2725.1,360.1,1.4,359.1,1022.0,982.5
2018-07-01 ,18:00,5671.37,-2841.3399999999997,4.32,7.62,941.8,1503.2,324.68,2735.7,360.3,2.2,359.3,1029.0,984.9
2018-07-01 ,19:00,5618.05,-2445.1900000000005,4.36,0.55,971.75,1433.35,328.35,2740.4,360.2,0.0,359.4,1034.0,986.8
2018-07-01 ,20:00,5736.6,-2688.31,4.88,0.2,1144.05,1590.33,328.8,2749.6,360.0,0.0,359.6,1041.0,989.0
2018-07-01 ,21:00,5882.02,-1727.6200000000003,6.15,0.23,746.15,1019.33,328.65,2757.5,359.8,0.0,359.8,1047.0,990.9
2018-07-01 ,22:00,5660.92,-628.97,0.31,0.01,560.45,715.15,326.08,2765.2,360.1,0.0,359.6,1052.0,993.5
2018-07-01 ,23:00,5900.26,-215.1499999999994,0.36,0.01,248.03,663.5,322.25,2771.0,359.6,0.0,359.9,1056.0,995.5
2018-07-02 ,00:00,6015.23,-391.5500000000002,0.17,0.01,246.1,604.33,326.35,2775.9,359.5,0.0,360.0,1059.0,997.4
2018-07-02 ,01:00,5818.63,-330.0000000000002,0.17,0.01,146.93,547.13,313.48,2779.6,359.6,0.0,359.8,1061.0,999.2
2018-07-02 ,02:00,5692.31,-542.56,0.13,0.01,181.08,646.4,304.15,2783.7,359.5,0.0,359.9,1064.0,1000.3
2018-07-02 ,03:00,5617.69,-390.3399999999999,0.17,0.16,319.23,721.33,310.28,2786.4,360.3,0.0,359.9,1065.0,1001.2
2018-07-02 ,04:00,5834.58,-1980.1599999999994,0.16,4.92,996.25,1144.38,308.15,2787.0,360.3,0.0,359.6,1065.0,1002.1
2018-07-02 ,05:00,5642.79,-3945.3699999999994,0.14,18.53,2289.78,1818.4,303.73,2784.6,360.0,0.0,359.6,1064.0,1001.0
2018-07-02 ,06:00,6412.78,-4093.5699999999997,0.06,38.31,2262.58,2223.45,317.03,2780.8,359.8,0.0,359.4,1061.0,1000.6
2018-07-02 ,07:00,7109.58,-3114.92,0.03,61.66,1747.2,1606.25,321.13,2775.1,359.3,0.0,359.5,1057.0,999.3
2018-07-02 ,08:00,7110.88,-2139.5400000000004,0.16,79.85,1093.13,1323.2,323.78,2763.5,359.2,0.0,359.3,1051.0,994.0
2018-07-02 ,09:00,7330.06,-1577.1600000000003,0.88,92.88,897.45,1249.1,330.5,2753.0,359.0,0.0,359.0,1045.0,990.0
2018-07-02 ,10:00,7616.4,-1128.52,2.02,100.09,662.28,1025.13,312.35,2743.1,358.9,0.0,358.7,1041.0,984.5
2018-07-02 ,11:00,7371.82,-1276.5399999999995,1.96,100.38,938.88,1150.4,315.38,2734.6,358.8,0.0,358.2,1037.0,980.6
2018-07-02 ,12:00,7482.37,-509.73999999999967,2.96,97.28,659.63,980.68,316.13,2720.3,358.5,0.0,358.1,1028.0,975.7
2018-07-02 ,13:00,7693.41,-857.0299999999999,2.74,86.09,908.55,933.25,315.75,2713.8,358.4,0.0,357.7,1025.0,972.7
2018-07-02 ,14:00,7448.15,-1025.0900000000001,2.31,73.22,864.65,1044.23,321.73,2710.7,358.6,0.0,357.4,1022.0,972.7
2018-07-02 ,15:00,7275.64,-2615.3599999999997,2.18,52.04,1479.73,1582.75,327.38,2706.9,358.7,0.0,357.3,1018.0,972.9
2018-07-02 ,16:00,6996.17,-4651.88,2.61,30.08,2238.3,2649.55,329.65,2707.9,359.1,0.0,357.2,1020.0,971.6
2018-07-02 ,17:00,6927.01,-5689.28,1.21,15.69,2569.75,2937.28,330.03,2708.2,359.3,0.0,357.2,1020.0,971.7
2018-07-02 ,18:00,6728.12,-5465.299999999999,0.5,5.76,2503.7,2795.78,331.33,2710.9,359.3,0.0,357.3,1022.0,972.3
2018-07-02 ,19:00,6452.27,-4846.6,0.07,0.42,2288.98,2617.33,331.75,2716.4,359.4,0.0,357.7,1025.0,974.3
2018-07-02 ,20:00,6326.6,-4184.08,0.49,0.01,1978.43,2282.05,332.08,2723.6,359.9,0.0,357.7,1030.0,976.0
2018-07-02 ,21:00,6358.25,-2354.29,0.61,0.01,994.08,1373.65,332.38,2731.4,359.9,0.0,357.9,1033.0,980.6
2018-07-02 ,22:00,5869.14,-1701.2200000000005,0.04,0.01,696.9,1005.28,332.63,2741.0,359.8,0.0,357.8,1038.0,985.4
2018-07-02 ,23:00,5500.96,-1587.12,0.0,0.01,554.95,950.33,331.98,2744.0,359.6,0.0,357.9,1040.0,986.5
2018-07-03 ,00:00,5475.7,-1567.2000000000003,0.0,0.0,455.73,943.33,331.23,2748.3,359.3,0.0,357.9,1044.0,987.1
2018-07-03 ,01:00,5340.18,-1606.1800000000003,0.0,0.0,502.9,944.38,330.08,2750.9,359.4,0.0,357.9,1047.0,986.6
2018-07-03 ,02:00,5107.03,-1649.6300000000006,0.0,0.01,448.05,920.03,316.65,2753.0,359.4,0.0,357.6,1048.0,988.0
2018-07-03 ,03:00,4941.07,-1619.9099999999996,0.02,0.08,538.13,921.9,316.18,2756.3,359.5,0.0,357.4,1051.0,988.4
2018-07-03 ,04:00,5174.19,-2431.76,0.02,1.51,1032.75,1709.73,315.18,2755.5,359.8,0.0,357.3,1050.0,988.4
2018-07-03 ,05:00,5952.98,-4798.17,0.01,5.23,2611.45,2716.85,317.6,2755.6,359.8,0.0,357.1,1052.0,986.7
2018-07-03 ,06:00,6789.22,-4691.450000000001,0.0,10.34,2648.65,2758.73,329.0,2752.4,359.6,0.0,356.9,1048.0,987.9
2018-07-03 ,07:00,7360.73,-4004.960000000001,0.12,15.89,2365.38,2600.45,321.38,2754.9,359.5,0.0,357.0,1047.0,991.4
2018-07-03 ,08:00,7601.76,-2704.08,0.16,24.25,1900.28,2196.3,323.75,2753.8,358.2,0.0,357.1,1046.0,992.5
2018-07-03 ,09:00,7847.28,-1444.6700000000003,0.13,29.94,1444.03,1653.68,329.08,2758.2,359.2,0.0,357.2,1051.0,990.8
