StartDate,StartTime,EndDate,EndTime,Type,UnitName,Reason,OldVersion
2022-03-05 ,08:15,2022-03-05 ,09:15,Planned,Leibstadt,Foreseen Maintenance,
2022-03-13 ,07:45,2022-03-13 ,08:45,Planned,Leibstadt,Foreseen Maintenance,
2022-04-25 ,12:00,2022-08-28 ,12:00,Planned,Leibstadt,Failure,
2022-04-29 ,08:00,2022-07-02 ,13:00,Planned,Beznau 1,Failure,
2022-04-29 ,11:00,2022-06-22 ,11:00,Planned,Beznau 1,Failure,
2022-04-29 ,12:00,2022-06-17 ,12:00,Planned,Beznau 1,Failure,
2022-05-21 ,00:00,2022-06-25 ,00:00,Planned,Kernkraftwerk Gösgen,Foreseen Maintenance,
2022-05-21 ,00:30,2022-06-24 ,00:00,Planned,Kernkraftwerk Gösgen,Foreseen Maintenance,
2022-05-28 ,00:00,2022-07-02 ,00:00,Planned,Kernkraftwerk Gösgen,Foreseen Maintenance,
2022-06-12 ,19:00,2022-07-12 ,18:00,Planned,Leibstadt,Failure,
2022-06-13 ,12:00,2022-07-11 ,12:00,Planned,Leibstadt,Failure,
2022-07-15 ,15:00,2022-07-15 ,20:00,Planned,Beznau 2,Shutdown,
2022-07-15 ,15:00,2022-07-15 ,20:00,Planned,Beznau 1,Shutdown,
2022-07-16 ,15:00,2022-07-16 ,20:00,Planned,Beznau 1,Shutdown,
2022-07-16 ,15:00,2022-07-16 ,20:00,Planned,Beznau 2,Shutdown,
2022-07-17 ,15:00,2022-07-17 ,20:00,Planned,Beznau 2,Shutdown,
2022-07-17 ,15:00,2022-07-17 ,20:00,Planned,Beznau 1,Shutdown,
2022-07-18 ,16:00,2022-07-18 ,22:00,Planned,Beznau 2,Shutdown,
2022-07-18 ,16:00,2022-07-18 ,22:00,Planned,Beznau 1,Shutdown,
2022-07-19 ,16:00,2022-07-19 ,22:00,Planned,Beznau 2,Shutdown,
2022-07-19 ,16:00,2022-07-19 ,22:00,Planned,Beznau 1,Shutdown,
2022-07-20 ,16:00,2022-07-20 ,22:00,Planned,Beznau 2,Shutdown,
2022-07-20 ,16:00,2022-07-20 ,22:00,Planned,Beznau 1,Shutdown,
2022-07-21 ,16:00,2022-07-21 ,22:00,Planned,Beznau 1,Shutdown,
2022-07-21 ,16:00,2022-07-21 ,22:00,Planned,Beznau 2,Shutdown,
2022-07-22 ,16:00,2022-07-22 ,22:00,Planned,Beznau 1,Shutdown,
2022-07-22 ,16:00,2022-07-22 ,22:00,Planned,Beznau 2,Shutdown,
